問題文,正解の選択肢,不正解の選択肢1,不正解の選択肢2,解説,削除
公共のWi-Fi（無料Wi-Fi）を利用する際、特に注意すべきことは何ですか？,インターネットバンキングやオンラインショッピングを利用しない方が良い,Wi-Fiにパスワードを入力するだけで安全,無料のため、安全にすべての操作ができる,公共Wi-Fiは、セキュリティが十分でないことが多いため、パスワードやクレジットカード情報を入力するような重要な操作を避けるべきです。これらの情報が盗まれるリスクが高まります。可能な限りVPNを使用することが安全です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""28dfb4808ed3481c.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない電話番号から着信があり、「孫の●●●●だよ、事故を起こして相手にお金が必要なんだ。すぐに振り込んで欲しい。このURLにアクセスして。」との内容。あなたならどうします？,身内等での決めた合言葉等で確認して、本人と違っていたので電話をすぐに切った。,URLに「コンビニでプリペイドカードを購入し送金」の指示があり、その通りにした。,話を聞いて大変な事なので、急いでURLにアクセスした。,"家族内、身内内で決めごと（ルール）を徹底して、知らない電話番号は常に疑う よう心掛けを持ちましょう。オレオレ詐欺等には気をつけましょう。また、不安 に思ったら、警察や家族に相談しましょう。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""2dcf8119edf9bb6f.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNS（ソーシャルネットワーキングサービス）で公開した投稿や写真を後から削除したい場合、何が考慮すべき点ですか？,一度投稿した情報は完全に削除できないことがある,削除後、情報が広まることはない,すぐに削除すれば、すべての人から消える,SNSで公開した情報は、削除した後でも他の人が保存していたり、インターネット上に残る可能性があります。削除後に情報が広まることもあるため、慎重に投稿内容を考える必要があります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""31e764dfcc841bec.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ウォーキングサークルの募集のチラシを作成するために「ウォーキング　画像　無料」で検索しました。チラシに使用する際に正しい行動はどれでしょうか？,チラシに使用しても著作権上問題がないか、画像のリンク先で規約等を確認してからチラシに貼り付ける。,「無料」と検索したので全ての画像は無料でチラシに使うことができるので好きな画像をチラシに貼り付ける。,画像に透かし（サイト名やsample等）が入っているものの保存できるため、この画像をチラシに貼り付ける。,無料で検索したとしても使用方法によっては有料となるケースがあります。必ず規約を確認し、透かしが入っていないダウンロード用の画像を保存し使用してください。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""37d2f94650fec272.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマホに「あなたのスマホをロックしました、ロックを解除したければ指定の口座に入金してください」と表示され、操作ができなくなりました。次のうち誤っている対応はどれでしょうか。,急いで入金する。,スマホの利用を中断し、スマホの購入店舗に相談する。,以前作成したバックアップデータを用いてデータを復旧する。,ランサムウェアは感染した端末をロックしたり、端末内や共有ネットワーク上のファイルを暗号化して閲覧できなくするウィルスです。復旧と引き換えに身代金を要求してきますが、身代金を支払っても元に戻る保証はありません。バックアップデータを用いて復旧を試みるか、スマホの購入店や警察に相談しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""38352aee88991508.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNSを見ていたら、ブランド品が定価より安く購入できるという広告が出てきました。正しい行動は次のうちどれでしょうか？,本当にブランドの公式サイトなのか検索して確かめる。,公式サイトのみの数量限定販売とのことなので急いで購入手続きをする。,いつも使っているSNSに掲載されている広告なので、信頼して購入する。,公式サイトと書かれていても偽サイトの恐れがあります。URLを開かずに公式サイトを検索して確認しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""3ce7796b95c6da31.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない電話番号に出たときに、「未納料金が発生しているため、法的措置へ移行いたします」といった自動音声が流れた場合、ガイダンスの指示通りに従いますか？,ちょうど家族がいたので、電話内容を相談し、指示通りにはしなかった。,法的措置をとられる、とりますのでと言われたため、ガイダンスの通り指示に従った。,指示通りにした後に、家族に相談した。,"自動音声ガイダンスを使用して未納料金 の支払い等を案内することはなく、こういった電話を着信した場合は着信拒否を 設定して無視する等して決して応じることのないようしてください。一人の時は 必ず相談もしましょう。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""47ba5866597c2f22.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
公衆のフリーWi-Fiを使うときに気を付けるべきことは次のうちどれでしょう。,自分の大切な情報を入力しない,フリーWi-Fiは安全なのでどんなサイトでもみてもよい,繋ぐことのできるフリーWi-FiならどこのWi-Fiを使ってもよい,誰でも自由に使えるサービスなので通信内容を盗み見される可能性がるため大切な情報は入力しない方がいい,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""5143191ff473065f.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ネット上での投稿について正しいのはどれか。,匿名であっても誹謗中傷等を行えば罪に問われる場合がある。,匿名で投稿すれば何を言っても問題無い。,自宅で撮影した写真を投稿したが、顔を写していないため個人を特定される心配は無い。,匿名で投稿しても、名誉棄損等で訴えられると情報開示により個人が特定され、罪に問われた事例があります。顔を写していなくても、背景や写りこんだ情報等により家の場所や個人が特定される場合があります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""534e27599b6083c3.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
フィッシング詐欺のメールでよく見られる特徴はどれですか？,メールに急いで対応するよう圧力がかかっている,送信者が正確にわかり、個人的な内容が書かれている,メールに添付ファイルがない,フィッシング詐欺のメールでは、受信者に対して「急いで対応しなければアカウントが凍結される」など、迅速な行動を促す圧力がかけられます。これは受信者を焦らせて、冷静な判断をさせなくするための手口です。怪しいメールは慎重に扱い、公式サイトから確認することが重要です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""53686bd29c65602b.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつの間にか入っていたLINEグループで、儲かる投資方法を教えてくれると言うメンバーがいます。次のうち正しい対応はどれでしょうか？,グループから退会する。,詳しく話を聞きたいのでメッセージに返信する。,メンバーの指示に従いアカウントをフォローする。,LINEグループでの投資話は詐欺です。話に乗らずにグループから退会しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""5373ec0a817a05b1.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ソーシャルメディアに自分の住所や電話番号などのプライベート情報を公開することには、どんなリスクがありますか？,不正アクセスや詐欺のターゲットにされるリスクが増える,友達との関係が深まり、良いことがある,すぐにフォロワーが増える,SNSで住所や電話番号などの個人情報を公開すると、詐欺師やハッカーに狙われやすくなります。公開した情報を基に、詐欺や不正アクセスが行われるリスクが高まるため、個人情報は慎重に扱うことが重要です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""59e7a89809b020f8.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
あなたはSNSの利用を始めました。次のうち正しい行動はどれでしょうか。,個人を特定できる情報は投稿せず、誰に見られても困らない内容を心掛けた。,近所にある行きつけのお店を紹介したかったので、自分が映り込む形で撮影した写真を「家から近いのでよく通っています！」と紹介文をつけてアップロードした。,投稿した内容に否定的なコメントがついたので、暴力的な内容を返信をすることで相手を牽制した。,SNS上に投稿した内容は不特定多数の人が閲覧でき、内容によっては大きな問題に発展する可能性があります。一度投稿した内容が拡散されてしまうとネット上から削除することが困難なので、投稿内容には十分注意してください。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""5c532ab743799c6a.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
インターネットでショッピングをするときに作成するIDとパスワードの管理について正しいものはどれでしょうか？,誰にも教えない,ひとめにつくところにメモして置いておく,家族には教えても大丈夫,IDとパスワードは個人情報を守るための重要なセキュリティ要素です。適切に管理しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""666a60aad7cc5ec4.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない人からのメールが送られてきました。次のうち正しい行動はどれでしょう。,開かずに無視,知り合いかもしれないので試しに返信してみる,友達に転送する,詐欺や迷惑メールの可能性があるため知らない人からのメールは何もしないのが安全,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""79d9723297b44daf.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつも使っているショッピングサイトからこのURLから手続きをしないと使えなくなるといった内容のメールが届きました。次のうち、個人情報を取られてしまう危険性があるのはどれでしょうか？,メールに記載されているURLに接続して手続きを行う。,手続きする必要があるか家族に相談する。,送られてきたメールのアドレスが、いつも届くショッピングサイトのアドレスと同じものではなかったので放置する。,いつも使っているショッピングサイトをかたり個人情報を入力させるフィッシング詐欺の恐れがあります。怪しいメールはURLを開かないようにしましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""7cce3777bf14b2dd.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつも利用している通販サイトから「【重要】安全のためお客様のアカウントを一時的にロックしました。解除にはログインが必要です。（リンク先URL）」とメールが送られてきました。次のうち誤った対応はどれでしょうか。,リンク先でログインを行い、急いでロックを解除する。,メールアドレス・ドメインが公式通販サイトのものであるか調べる。,インターネット上の公式サイトから問い合わせ先を確認し、アカウントがロックされた理由を問い合わせる。,緊急性のある文面で不安を煽り、個人情報を直接入力させるフィッシング詐欺です。メールのリンク先は詐欺サイトの可能性があるため、公式の情報を元に対応する必要があります。（URL、メールアドレス、ドメイン等））,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""84b4c389c9a93bd7.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
外出先でスマホを利用しているとき、パスワード不要で利用できるフリーWi-Fiがありました。次のうち正しくない対応はどれでしょうか。,さっそくフリーWi-Fiを利用し、ネット通販や動画サイトにログインした。,公的機関や店舗が利用者向けに開放しているフリーWi-Fiであるか確認した。,公的機関のフリーWi-Fiであると確認できた場合であっても、個人情報を入力するような利用は避けてウェブページの閲覧だけに留めた。,悪意を持った人がWi-Fiを開放し、利用者が入力した個人情報を取得することがあります。公的機関や店舗が開放しているwifiを利用し、個人情報の入力は控えましょう,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""8ee9d29a3782318e.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
家族で海外旅行中に撮影した写真をインスタグラムに投稿したいが、いつ投稿するのがよいか。,家に帰ってから投稿する。,知り合いにすぐ見てもらいたいので、撮影するたびに投稿する。,現地のホテルに到着し、落ち着いてから投稿する。,旅行中に投稿すると留守であるのが知られてしまうため、本名で利用していたり家の場所を推測できる情報等を過去に投稿してしまったりしていた場合に空き巣被害にあう恐れが高くなってしまいます。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""91dae63bdb6899d6.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
同じパスワードを複数のインターネットサイトで使い回すと、どんなリスクが考えられるでしょうか？,一度パスワードが盗まれると、複数のサイトで同時に不正アクセスされる危険がある,どのサイトでも問題なく安全,パスワードを使い回した方が便利で簡単,同じパスワードを複数のサイトで使い回すと、1つのサイトでパスワードが盗まれると、他のサイトでも不正アクセスされやすくなります。これを防ぐためには、サイトごとに異なるパスワードを設定することが推奨されます。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""9a85499977ff0547.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ショートメッセージで宝くじの当選案内が届いた。どうするべきか？,メッセージを削除する。,宝くじを買った覚えがないため、メッセージに返信して確認をする。,メッセージに記載のURLをクリックし、受け取れるか確認する。,購入していない宝くじが当たることはあり得ません。ショートメッセージで届く宝くじの当選案内は全て詐欺です。当選金を受け取るための手数料という名目等で金銭を請求されたり、個人情報やクレジットカード情報を盗み取られる恐れがあります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a0fa024e856f6497.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
パスワードを設定するときに安全性が高いのは次のうちどれでしょう。,英数字記号など覚えにくい文字の組み合わせ,推測のしやすいアルファベット(例:abcd),自分の誕生日に関する数字,推測しにくい英数字記号の組み合わせにすることでアカウントの乗っ取りがされにくく安全性が高い,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a3075043907c9f38.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
「電子メール（Eメール）」を送る際に必要なものは何ですか？,受信者のメールアドレス," 受信者の住所",受信者の電話番号,電子メールを送る際は相手の宛先である受信者のメールアドレスが必要である,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a4d0f85d0b7c10f5.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマートフォンがインターネットにつながらない。どれが原因として考えられるか？,機内モードになっているため。,電池の残量が10%になっているため。,マナーモードになっているため。,機内モードにしていると、電話やインターネット（wifiを含む）へ接続できなくなります。マナーモードや電池の残量はインターネット接続とは関係ありません。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a58c59398afdfdda.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
フィッシング詐欺は、悪意のある人物が有名な企業や団体になりすまして、個人情報を騙し取ろうとする手口です。最もよく使われる方法はどれですか？,偽のメールを送って、個人情報を求める,友達からの電話での確認,知らない人と会って直接情報を聞き出す,フィッシング詐欺では、偽のメールが使われ、企業や銀行など信頼できる組織を装って、受信者にパスワードやクレジットカード情報を求める手口がよく見られます。電話や直接会うことは少なく、主にメールで行われます。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a5da3d1fd7f7d4af.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
仕事やプライベートの大切な情報が詰まったスマートフォンを更新等した場合、最初に何をしますか？,パスワード等で簡単にロックをかけられるので、買ったらすぐにセキュリティのロック設定をする。,必要なアプリをインストールする。,自分が使いやすいように、ホーム画面にアプリをおく。,"まず最初にすることは、仮に悪意のある人に拾われて中をのぞかれたりする場合 があるので、有効なのがセキュリティロックをかけること。万が一、スマート フォンをなくしてしまったら、速やかに購入店やサポートに相談しましょう。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""b153e94478529790.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
2段階認証について正しいものはどれでしょう。,パスワードと電話・メールなどで受け取ったコードを入力して認証する,自分で設定したパスワードを1回入力して認証する,自分で設定したパスワードを2回入力して認証する,2段階認証とは、Webサービスへのログイン時に「IDとパスワード」の入力に加え、別の認証を行う、二段構えの認証方法のこと。不正ログインへの対策として2回の認証を行うことで本人確認をし、セキュリティの強化を図ることができる。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""b63afc4317bcee46.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
企業のホームページやメールマガジンの会員登録をする際、どのようなパスワードが最も安全でしょうか。,ランダムな文字、数字、記号を組み合わせた長いパスワード,名前や誕生日、車のナンバーを使った覚えやすい簡単なパスワード,すべての企業のホームページやメールマガジンの登録で同じパスワードを使いまわす," ランダムな文字列にすることで、予測困難なパスワードを作ることができ、長さを増やすことでセキュリティがさらに強化されます。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""bf5457985edff4b1.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマートフォンの「ソフトウェアの更新」を行う目的で正しものはどれでしょうか？,セキュリティの問題を修正したり、機能を改善したりするため,新しいアプリを自動的にインストールするため,見栄えをよくするため," 新たに発見された脆弱性に対して修正パッチを適用することで、悪意のある攻撃から守ることができます。また、動作の不具合やバグを修正することも、更新の一部として行われます。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""c9b9f1aa7399f989.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつも使用している通販サイトに見慣れない広告（「会員様限定」との表記）があったが、クリックをすると、見慣れない外国文字表記だった。この時の正しい対処方法は？,いつものサイトであったが知らない外国語表記だったので、クリックせずに停止した。,いつものサイトで使い慣れていたので、疑うことなくクリックした。,会員限定と書いていたので、安心・信用してそのままクリックした。,"いつものサイトでも、知らない広告等から様々な危険を伴うサイトやサイバー攻 撃を受けるなどのリスクが生じる場合があるので、特に知らない広告等には注意 が必要。「いつもの」に安心せずに気をつけながら、相談できる家族等があれば 相談するなども効果の一つである。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""cc5989d4365e5ec6.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマホの機能やアプリを使用する際に、IDとパスワードの登録が求められることがあります。パスワードを設定する場合、どのようなことに気をつけて設定しますか？,他人に安易に知られてはいけないものだから簡単に想像がつくようなパスワードは控える。,覚えやすいから、誕生日や電話番号で設定する。,常にパスワードが使えるように、紙に書き留めて家のリビングや財布等においておく。,"安易にわからないパスワードを設定し、一定の期間ごとにパスワードを見直すこ と、パスワードの使いまわしをしないようすることも大切です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""d26852a225a000c4.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ウェブサイトに登録する際パスワードの設定を求められたが、どうするのがいいか？,サイト名の頭文字や自分の好きな数字、記号等を組み合わせたものを使う。,自分の名前や生年月日を使う。,忘れるといけないので他のサイトで使用しているものと同じパスワードを使用する。,名前や生年月日は推測されやすいためパスワードに設定してはいけません。他のサイトと同じパスワードを使いまわしてしまうと、1つのサイトでパスワードが漏洩してしまった場合等に芋づる式に他のサイトにも不正アクセスされてしまうリスクがあります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""d302c1f7cf3c3153.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
